board,number,name,source
1,114,T. Sax Sect B,SR-JV80-01_Pop_Waveform_List.pdf
1,115,T. Sax Sect C,SR-JV80-01_Pop_Waveform_List.pdf
1,116,Violin A,SR-JV80-01_Pop_Waveform_List.pdf
1,117,Violin B,SR-JV80-01_Pop_Waveform_List.pdf
1,118,Violin C,SR-JV80-01_Pop_Waveform_List.pdf
1,119,Cello A,SR-JV80-01_Pop_Waveform_List.pdf
1,120,Cello B,SR-JV80-01_Pop_Waveform_List.pdf
1,121,Cello C,SR-JV80-01_Pop_Waveform_List.pdf
1,122,Violin&Cello,SR-JV80-01_Pop_Waveform_List.pdf
1,123,STR Attack A,SR-JV80-01_Pop_Waveform_List.pdf
1,124,STR Attack B,SR-JV80-01_Pop_Waveform_List.pdf
1,125,STR Attack C,SR-JV80-01_Pop_Waveform_List.pdf
1,126,Choir 1A,SR-JV80-01_Pop_Waveform_List.pdf
1,127,Choir 1B,SR-JV80-01_Pop_Waveform_List.pdf
1,128,Choir 1C,SR-JV80-01_Pop_Waveform_List.pdf
1,129,Huge MIDI,SR-JV80-01_Pop_Waveform_List.pdf
1,130,Bell VOX,SR-JV80-01_Pop_Waveform_List.pdf
1,131,Synharmon,SR-JV80-01_Pop_Waveform_List.pdf
1,132,PWM,SR-JV80-01_Pop_Waveform_List.pdf
1,133,Rip Lead,SR-JV80-01_Pop_Waveform_List.pdf
1,134,Bright Lead,SR-JV80-01_Pop_Waveform_List.pdf
1,135,GR300 Saw,SR-JV80-01_Pop_Waveform_List.pdf
1,136,Vocal Wave,SR-JV80-01_Pop_Waveform_List.pdf
1,137,Sync Wave,SR-JV80-01_Pop_Waveform_List.pdf
1,138,Sync Sweep,SR-JV80-01_Pop_Waveform_List.pdf
1,139,Cello Wave,SR-JV80-01_Pop_Waveform_List.pdf
1,140,Wally Wave,SR-JV80-01_Pop_Waveform_List.pdf
1,141,VOX Noise 2,SR-JV80-01_Pop_Waveform_List.pdf
1,142,Bottle Lp A,SR-JV80-01_Pop_Waveform_List.pdf
1,143,Bottle Lp B,SR-JV80-01_Pop_Waveform_List.pdf
1,144,Bottle Lp C,SR-JV80-01_Pop_Waveform_List.pdf
1,145,Breath Wind,SR-JV80-01_Pop_Waveform_List.pdf
1,146,Breath Atack,SR-JV80-01_Pop_Waveform_List.pdf
1,147,Breath Whisl,SR-JV80-01_Pop_Waveform_List.pdf
1,148,Breath Hrmon,SR-JV80-01_Pop_Waveform_List.pdf
1,149,Metal Rain,SR-JV80-01_Pop_Waveform_List.pdf
1,150,Pink Noise,SR-JV80-01_Pop_Waveform_List.pdf
1,151,Orchestra Hit,SR-JV80-01_Pop_Waveform_List.pdf
1,152,Kong,SR-JV80-01_Pop_Waveform_List.pdf
1,153,Timpani,SR-JV80-01_Pop_Waveform_List.pdf
1,154,Gong,SR-JV80-01_Pop_Waveform_List.pdf
2,1,Vl Sect A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,2,Vl Sect B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,3,Vl Sect C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,4,Va Sect A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,5,Va Sect B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,6,Va Sect C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,7,Vc Sect A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,8,Vc Sect B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,9,Vc Sect C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,10,Cb Sect,SR-JV80-02_Orchestral_Waveform_List.pdf
2,11,Multi STR A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,12,Multi STR B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,13,Multi STR C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,14,Vl Sect Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,15,Va Sect Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,16,Vc Sect Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,17,Cb Sect Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,18,Mulit STR Lp,SR-JV80-02_Orchestral_Waveform_List.pdf
2,19,Vl Solo A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,20,Vl Solo B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,21,Vl Solo C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,22,Va Solo A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,23,Va Solo B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,24,Va Solo C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,25,Vc Solo A,SR-JV80-02_Orchestral_Waveform_List.pdf
2,26,Vc Solo B,SR-JV80-02_Orchestral_Waveform_List.pdf
2,27,Vc Solo C,SR-JV80-02_Orchestral_Waveform_List.pdf
2,28,Cb Solo,SR-JV80-02_Orchestral_Waveform_List.pdf
